run_id,timestamp_utc,model_type,preset,run_status,output_dir_name,search_contract_version,comparison_signature,manual_history_status_label,manual_decision_note,manual_comparability_note,manual_supersedes_run_id,manual_paper_include
34a517f2a3a84ff9a7ef4929d2f9f2ef,2026-03-26T04:27:39+00:00,logistic_saga,smoke,failure,parquet_benchmark_smoke_folds01,logistic_saga__smoke__custom_l1_ratio_grid__cvna__pcna,4cb5600bd10b,superseded,Failed long-path benchmark attempt; rerun with a shorter path to recover a usable smoke result.,No completed held-out metrics; keep only as provenance for the Windows path-length failure.,7474250f5bff46d4891c611f430b3c6c,no
7474250f5bff46d4891c611f430b3c6c,2026-03-26T04:39:15+00:00,logistic_saga,smoke,success,pb_smk_f01,logistic_saga__smoke__explicit_penalty_grid__cv3__pc4,2d45187ab91e,exploratory,Broader parquet smoke benchmark on folds 0 and 1 under the older explicit-penalty logistic contract.,Legacy explicit-penalty smoke grid; compare cautiously to later l1_ratio-based smoke runs because the tuning contract changed.,,maybe
c3c9ce1bf86e4c06ad54ffe18ea64e17,2026-03-26T04:48:22+00:00,random_forest,smoke,success,pb_smk_f01,random_forest__smoke__generic_grid__cv3__pc4,36eabdbd94c8,exploratory,Broader parquet smoke benchmark on folds 0 and 1 for the current random-forest smoke contract.,Comparable within the same random-forest smoke search contract and evaluation slice.,,maybe
127615da3085451980f639957ca25b15,2026-03-26T06:17:27+00:00,logistic_saga,full,success,pf0,logistic_saga__full__explicit_penalty_grid__cv4__pc20,bba5b6fcd6ca,exploratory,Bounded one-fold full-preset dry run to measure runtime and confirm full-artifact output on parquet.,Legacy explicit-penalty full grid; note search-contract drift when comparing to later logistic full reruns.,,maybe
3925431893a143668ee3fe01f711de8c,2026-03-26T22:44:23+00:00,logistic_saga,smoke,success,conv_verify_smoke,logistic_saga__smoke__l1_ratio_missing_l1__cv3__pc4,6452f932826c,validation,Convergence-warning verification run before the retained tolerance adjustment.,Pre-fix smoke contract missing the pure L1 branch; treat mainly as a workflow-validation checkpoint.,aad0ff186598447f850050d16a7f6cd9,no
d6e5846f3045408a8e52633411175815,2026-03-27T00:47:47+00:00,logistic_saga,smoke,success,conv_verify_smoke_6000,logistic_saga__smoke__l1_ratio_missing_l1__cv3__pc4,6452f932826c,exploratory,Diagnostic max_iter=6000 rerun used to test whether the remaining warning would disappear.,Same evaluation slice as neighboring smoke runs but diagnostic solver settings only; not the retained workflow.,aad0ff186598447f850050d16a7f6cd9,no
aad0ff186598447f850050d16a7f6cd9,2026-03-27T05:07:07+00:00,logistic_saga,smoke,success,conv_verify_smoke_tol,logistic_saga__smoke__l1_ratio_missing_l1__cv3__pc4,6452f932826c,validation,Retained-default smoke rerun after the tolerance adjustment to verify cleaner warnings and practical runtime.,Directly comparable to the earlier missing-L1 smoke runs on fold 0 with the same sample cap; use as the retained pre-patch smoke baseline.,,no
00ab9bd56bde4f4d85f63ea38f0328dc,2026-04-04T18:31:19+00:00,logistic_saga,smoke,success,pen_smk_f0,logistic_saga__smoke__l1_ratio_family_complete__cv3__pc4,358bc0bdafb4,validation,Post-patch smoke rerun confirming the family-complete logistic smoke grid and refreshed tuning-history layer.,Use as the corrected post-patch smoke baseline; still not benchmark-grade because it is smoke preset on one outer fold only.,,maybe
38184740f781470894f98aab43be6183,2026-04-04T19:18:00+00:00,logistic_saga,smoke,success,smoke_f0_s5000_autopath_2026-04-04_151656,logistic_saga__smoke__l1_ratio_family_complete__cv3__pc4,358bc0bdafb4,,,,,
e8464ccf7efb49c983161d57f088729b,2026-04-08T03:29:32+00:00,logistic_saga,full,success,full_f0_s5000_sampled-full-f0_2026-04-07_232219,logistic_saga__full__l1_ratio_family_complete__cv4__pc20,33d0e8661911,,,,,
47efd1f0437640de93e7c67389c2b19d,2026-04-08T04:34:00+00:00,logistic_saga,full,success,full_allfolds_s5000_sampled-full-allfolds_2026-04-07_235825,logistic_saga__full__l1_ratio_family_complete__cv4__pc20,2592b6f1ed15,,,,,
ed9cf69691a34fdd95fa9c75b24fc163,2026-04-08T06:11:49+00:00,logistic_saga,full,success,full_allfolds_s10000_samplecurve-10k_2026-04-08_004723,logistic_saga__full__l1_ratio_family_complete__cv4__pc20,6cdd6108ee61,,,,,
360da7558d0d479d81d9ceaaba9b87c8,2026-04-08T08:48:28+00:00,logistic_saga,full,success,full_allfolds_s20000_samplecurve-20k_2026-04-08_021152,logistic_saga__full__l1_ratio_family_complete__cv4__pc20,07f46c531f0b,,,,,
